City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sinnamary,GF,2021-02-04 12:15:16,5.3833,-52.95,78.26,82,95,16.28
68,Segezha,RU,2021-02-04 12:19:02,63.7415,34.3222,13.69,94,100,17.58
69,Severo-Kurilsk,RU,2021-02-04 12:15:14,50.6789,156.125,9.72,90,99,20.13
70,Saldanha,ZA,2021-02-04 12:16:12,-33.0117,17.9442,78.8,50,14,17.27
71,Ribeira Grande,PT,2021-02-04 12:13:42,38.5167,-28.7,55.4,58,40,18.41
72,Steamboat Springs,US,2021-02-04 12:20:08,40.485,-106.8317,15.8,73,90,4.23
73,Isangel,VU,2021-02-04 12:13:18,-19.55,169.2667,78.31,80,95,7.94
74,Nepa Nagar,IN,2021-02-04 12:21:04,21.4667,76.4,85.26,18,0,1.83
75,Tilichiki,RU,2021-02-04 12:15:51,60.4667,166.1,1.18,94,98,12.21
76,New Norfolk,AU,2021-02-04 12:15:12,-42.7826,147.0587,68.0,64,0,8.05
77,Tuktoyaktuk,CA,2021-02-04 12:15:17,69.4541,-133.0374,-34.44,83,31,5.82
78,Belchertown,US,2021-02-04 12:21:04,42.277,-72.4009,28.4,69,90,4.61
79,Wasilla,US,2021-02-04 12:16:20,61.5814,-149.4394,15.8,85,90,0.6
80,Khatanga,RU,2021-02-04 12:16:14,71.9667,102.5,-30.5,80,0,13.78
81,Santiago Del Estero,AR,2021-02-04 12:16:44,-27.7951,-64.2615,74.03,60,0,2.35
82,Hilo,US,2021-02-04 12:15:00,19.7297,-155.09,68.0,77,1,5.75
83,Pevek,RU,2021-02-04 12:15:53,69.7008,170.3133,-13.88,82,0,15.28
84,Dingle,PH,2021-02-04 12:13:53,10.9995,122.6711,75.78,86,62,8.88
85,Cape Town,ZA,2021-02-04 12:15:09,-33.9258,18.4232,77.0,57,0,23.02
86,Chimbote,PE,2021-02-04 12:21:05,-9.0853,-78.5783,69.04,76,98,3.4
87,Prieska,ZA,2021-02-04 12:21:06,-29.6641,22.7474,93.38,19,0,6.96
88,Cidreira,BR,2021-02-04 12:12:12,-30.1811,-50.2056,71.29,90,92,17.56
89,Bathsheba,BB,2021-02-04 12:15:53,13.2167,-59.5167,80.6,61,20,21.85
90,Chokurdakh,RU,2021-02-04 12:15:33,70.6333,147.9167,-12.89,85,18,15.84
91,Coronado,US,2021-02-04 12:21:06,32.6859,-117.1831,59.0,77,75,4.61
92,Siocon,PH,2021-02-04 12:21:07,7.7061,122.1353,78.71,80,82,10.83
93,Tiksi,RU,2021-02-04 12:15:15,71.6872,128.8694,-28.79,85,68,1.92
94,Bundaberg,AU,2021-02-04 12:21:07,-24.85,152.35,75.99,73,40,4.61
95,Berlevag,NO,2021-02-04 12:21:07,70.8578,29.0864,30.2,69,75,20.71
96,Saint-Philippe,RE,2021-02-04 12:16:12,-21.3585,55.7679,87.8,62,0,25.32
97,Huilong,CN,2021-02-04 12:15:41,31.8111,121.655,46.99,70,15,1.99
98,Cairns,AU,2021-02-04 12:19:10,-16.9167,145.7667,80.6,78,40,1.14
99,Uren,RU,2021-02-04 12:21:07,57.4552,45.7852,31.21,98,99,8.39
100,Taoudenni,ML,2021-02-04 12:15:30,22.6783,-3.9836,88.29,11,23,9.48
101,Cockburn Town,TC,2021-02-04 12:14:08,21.4612,-71.1419,68.0,77,40,3.44
102,San Francisco,US,2021-02-04 12:20:08,37.7749,-122.4194,48.99,81,1,3.44
103,Fort Nelson,CA,2021-02-04 12:21:08,58.8053,-122.7002,-16.6,69,90,8.05
104,Provideniya,RU,2021-02-04 12:16:32,64.3833,-173.3,-11.13,83,33,21.36
105,Lunglei,IN,2021-02-04 12:21:08,22.8833,92.7333,59.65,35,0,1.23
106,Haines Junction,CA,2021-02-04 12:21:08,60.7522,-137.5108,-27.4,68,86,1.14
107,Port Alfred,ZA,2021-02-04 12:15:06,-33.5906,26.891,75.99,77,88,1.01
108,Talaya,RU,2021-02-04 12:21:08,61.3833,152.75,-19.73,84,100,6.96
109,Skorodnoye,RU,2021-02-04 12:21:08,51.071,37.2276,37.4,100,90,11.18
110,Charters Towers,AU,2021-02-04 12:21:09,-20.1,146.2667,75.27,84,53,13.06
111,Navsari,IN,2021-02-04 12:21:09,20.9524,72.9324,84.2,32,61,5.75
112,Ponta Do Sol,PT,2021-02-04 12:13:24,32.6667,-17.1,57.0,68,91,1.01
113,West Wendover,US,2021-02-04 12:15:48,40.7391,-114.0733,30.2,59,1,8.05
114,Bolshaya Glushitsa,RU,2021-02-04 12:21:09,50.2406,43.5908,40.87,97,96,5.53
115,Maniitsoq,GL,2021-02-04 12:16:40,65.4167,-52.9,3.87,73,0,9.46
116,Qaanaaq,GL,2021-02-04 12:15:27,77.484,-69.3632,-22.27,60,1,8.77
117,Skibbereen,IE,2021-02-04 12:21:09,51.55,-9.2667,46.4,87,40,13.8
118,Sicamous,CA,2021-02-04 12:21:10,50.8331,-118.9856,28.4,86,96,1.14
119,Kodiak,US,2021-02-04 12:15:20,57.79,-152.4072,21.2,86,75,5.01
120,Kulhudhuffushi,MV,2021-02-04 12:21:10,6.6221,73.07,82.33,66,100,7.45
121,Mahebourg,MU,2021-02-04 12:16:10,-20.4081,57.7,84.2,70,40,10.36
122,Mar Del Plata,AR,2021-02-04 12:10:48,-38.0023,-57.5575,69.01,82,0,4.61
123,Meulaboh,ID,2021-02-04 12:15:11,4.1363,96.1285,80.49,81,84,2.8
124,Faanui,PF,2021-02-04 12:15:36,-16.4833,-151.75,80.96,69,68,7.74
125,Victoria,HK,2021-02-04 12:12:52,22.2855,114.1577,68.0,78,0,1.99
126,Santiago De Cao,PE,2021-02-04 12:21:10,-7.9589,-79.2392,68.88,82,100,5.19
127,Pouebo,NC,2021-02-04 12:21:10,-20.4,164.5667,77.14,87,33,6.62
128,Saint-Georges,GD,2021-02-04 12:16:45,12.0564,-61.7485,80.6,78,40,20.71
129,Karratha,AU,2021-02-04 12:16:24,-20.7377,116.8463,82.27,81,85,12.86
130,Sorland,NO,2021-02-04 12:15:47,67.667,12.6934,33.8,93,40,13.8
131,Ambilobe,MG,2021-02-04 12:21:11,-13.2,49.05,84.47,78,87,6.02
132,Gao,ML,2021-02-04 12:20:17,16.6362,1.637,88.77,10,0,16.8
133,Andijon,UZ,2021-02-04 12:21:11,40.7821,72.3442,48.2,46,2,2.24
134,Nanortalik,GL,2021-02-04 12:16:38,60.1432,-45.2371,17.98,79,100,10.0
135,Anadyr,RU,2021-02-04 12:21:11,64.75,177.4833,-5.8,77,65,33.55
136,Kokuy,RU,2021-02-04 12:21:11,52.2037,117.5529,-7.4,88,100,1.54
137,Praia,CV,2021-02-04 12:21:11,14.9215,-23.5087,73.4,68,90,23.02
138,San Joaquin,US,2021-02-04 12:21:12,37.9333,-121.3011,44.01,81,1,9.22
139,Avera,US,2021-02-04 12:21:12,33.194,-82.5271,26.01,85,1,2.33
140,Kilindoni,TZ,2021-02-04 12:16:23,-7.9139,39.6668,83.91,69,52,8.57
141,Ormara,PK,2021-02-04 12:21:12,25.2088,64.6357,72.45,38,0,9.73
142,Saskylakh,RU,2021-02-04 12:15:21,71.9167,114.0833,-41.19,75,0,4.56
143,Srednekolymsk,RU,2021-02-04 12:14:56,67.45,153.6833,-24.23,87,66,2.86
144,Praia Da Vitoria,PT,2021-02-04 12:21:12,38.7333,-27.0667,55.0,66,75,29.33
145,Port Augusta,AU,2021-02-04 12:21:13,-32.5,137.7667,62.6,67,90,6.91
146,Lompoc,US,2021-02-04 12:15:39,34.6391,-120.4579,46.4,66,1,6.91
147,Aklavik,CA,2021-02-04 12:21:13,68.2191,-135.0107,-38.2,67,25,2.3
148,Longyearbyen,SJ,2021-02-04 12:16:44,78.2186,15.6401,21.2,73,75,21.85
149,Bredasdorp,ZA,2021-02-04 12:13:28,-34.5322,20.0403,75.2,57,70,13.8
150,Galesong,ID,2021-02-04 12:21:13,-5.3166,119.3661,75.2,100,40,5.75
151,Newport,GB,2021-02-04 12:14:39,51.5877,-2.9984,48.0,98,76,6.2
152,Quang Ngai,VN,2021-02-04 12:21:13,15.1167,108.8,70.45,89,96,4.52
