City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Adrar,MR,20.5022,-10.0711,54.72,42,98,11.3,overcast clouds
80,Padang,ID,-0.9492,100.3543,87.8,58,20,2.3,few clouds
81,Gandajika,CD,-6.75,23.95,67.08,95,100,1.83,overcast clouds
82,Naze,JP,28.3667,129.4833,68.0,56,40,10.36,scattered clouds
83,Moose Factory,CA,51.2585,-80.6094,-5.8,77,90,5.75,light snow
84,Lavrentiya,RU,65.5833,-171.0,-12.42,79,0,1.12,clear sky
85,Manika,PH,11.388,122.2793,77.34,85,91,7.45,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,66.2,88,2,5.75,clear sky
87,Mehamn,NO,71.0357,27.8492,25.43,95,100,22.24,light snow
88,Cockburn Town,TC,21.4612,-71.1419,77.31,77,0,22.88,clear sky
89,Sabaudia,IT,41.3003,13.0282,63.0,58,100,5.01,light rain
90,Preobrazheniye,RU,42.9019,133.9064,18.88,75,0,7.56,clear sky
91,Mezen,RU,65.8522,44.24,-20.0,87,8,6.46,clear sky
92,Barahona,DO,18.2085,-71.1008,75.13,77,16,10.27,few clouds
93,Fairbanks,US,64.8378,-147.7164,-5.01,77,90,2.51,light snow
94,Carnarvon,AU,-24.8667,113.6333,86.0,100,40,12.66,scattered clouds
95,Butaritari,KI,3.0707,172.7902,80.92,80,60,21.21,broken clouds
96,Broome,US,42.2506,-75.833,23.0,36,1,4.61,clear sky
97,Sitka,US,57.0531,-135.33,32.0,55,20,4.61,few clouds
98,Rio Gallegos,AR,-51.6226,-69.2181,52.7,55,29,5.77,scattered clouds
99,Pevek,RU,69.7008,170.3133,-7.74,87,0,4.5,clear sky
100,Stettler,CA,52.3168,-112.7186,-18.4,83,100,1.14,overcast clouds
101,Hay River,CA,60.8156,-115.7999,-34.6,67,10,2.3,clear sky
102,Ibotirama,BR,-12.1853,-43.2206,71.37,92,99,1.61,light rain
103,Vao,NC,-22.6667,167.4833,78.55,80,0,11.39,clear sky
104,Isangel,VU,-19.55,169.2667,87.8,70,40,5.75,scattered clouds
105,Peterhead,GB,57.5058,-1.7981,33.8,64,90,12.66,overcast clouds
106,Itanhem,BR,-17.1664,-40.33,75.29,85,100,4.0,moderate rain
